expiry_date,roll_cost
2001-01-25,4.771334246575344
2001-02-22,7.419313626532083
2001-03-29,8.288271689497718
2001-04-26,6.006221613394217
2001-05-31,7.756543378995435
2001-06-28,5.944975342465754
2001-07-26,5.809359452054795
2001-08-30,7.173670041691484
2001-09-27,5.135844383561646
2001-10-25,5.09677721701514
2001-11-29,6.871235854675402
2001-12-27,5.795756325543916
2002-01-31,7.275573698630136
2002-02-28,6.111655890410958
2002-03-28,6.225282191780822
2002-04-25,6.048104974765682
2002-05-30,7.266795091324202
2002-06-27,5.715816438356165
2002-07-25,5.635859178082194
2002-08-29,6.539961757990868
2002-09-26,5.317082912761356
2002-10-31,6.419627456819538
2002-11-28,5.310988432267886
2002-12-26,5.743181542898344
2003-01-30,7.230896438356166
2003-02-27,5.663509733237203
2003-03-27,5.486233597692864
2003-04-24,5.238614611872148
2003-05-29,6.416007420091324
2003-06-26,5.688537534246574
2003-07-31,7.708223561643837
2003-08-28,6.744943619322279
2003-09-25,7.321969315068495
2003-10-30,10.01154575342466
2003-11-27,8.46846191780822
2003-12-24,8.838713770728193
2004-01-29,13.140735616438356
2004-02-26,9.929668060562369
2004-03-25,9.58664686373468
2004-04-29,12.316714711137584
2004-05-27,8.926752876712328
2004-06-24,8.081563287671234
2004-07-29,10.442208767123288
2004-08-26,8.672140821917809
2004-09-30,11.301333150684934
2004-10-28,9.640939005046866
2004-11-25,9.995463013698629
2004-12-30,13.514742579908676
2005-01-27,10.618307458143075
2005-02-24,11.07507397260274
2005-03-31,14.062496575342468
2005-04-28,10.694223503965397
2005-05-26,10.66344712328767
2005-06-30,14.282854583772396
2005-07-27,11.561131362653208
2005-08-25,12.202668493150687
2005-09-29,16.666320776255713
2005-10-27,13.466881614996396
2005-11-24,13.509754069298957
2005-12-29,18.47713066385669
2006-01-25,14.881635616438356
2006-02-23,16.72380447007931
2006-03-30,21.53236757990868
2006-04-27,18.70901337630943
2006-05-25,18.796534246575348
2006-06-29,19.774288198103267
2006-07-27,16.58962794520548
2006-08-31,22.09376997716896
2006-09-28,18.726215890410963
2006-10-26,19.487799695586
2006-11-30,25.872349041095884
2006-12-28,20.98110050468637
2007-01-25,21.62082076423937
2007-02-22,22.198918936341663
2007-03-29,25.185720319634708
2007-04-26,21.08239307858689
2007-05-31,28.029254913639075
2007-06-28,22.64656493150685
2007-07-26,23.9859698630137
2007-08-30,28.96909646118722
2007-09-27,24.873312876712333
2007-10-25,28.73973294881039
2007-11-29,38.68527178082193
2007-12-27,31.876729984779303
2008-01-31,38.82786849315069
2008-02-28,27.92567726027398
2008-03-27,25.71144109589041
2008-04-24,25.999564079147643
2008-05-29,33.930909469922575
2008-06-26,24.2803994520548
2008-07-31,27.666205479452056
2008-08-28,23.73527498197549
2008-09-25,22.876577361211243
2008-10-29,21.65853349937733
2008-11-26,15.261150684931508
2008-12-24,14.399617082997583
2009-01-29,19.7907802263252
2009-02-26,15.17003258832012
2009-03-26,14.827027092846272
2009-04-29,21.590936164383564
2009-05-28,21.868939726027403
2009-06-25,23.893500821917808
2009-07-30,29.080976438356167
2009-08-27,24.495945753424664
2009-09-24,25.86869329488104
2009-10-29,33.628645080946455
2009-11-26,26.51225724585436
2009-12-31,34.16531566408577
2010-01-28,27.7699184170472
2010-02-25,25.97687342465753
2010-03-25,27.61508736681888
2010-04-29,35.52073913043479
2010-05-27,27.181467945205487
2010-06-24,27.68494630136988
2010-07-29,35.90220602739727
2010-08-26,29.319398356164392
2010-09-30,38.670565068493154
2010-10-28,32.75619123287672
2010-11-25,32.709418312905555
2010-12-30,39.90443093607307
2011-01-27,31.306357894736845
2011-02-24,29.10444273972603
2011-03-31,37.052390410958914
2011-04-28,31.383311522965347
2011-05-26,29.552450410958908
2011-06-30,36.75853808219178
2011-07-28,30.08352986301371
2011-08-25,27.53465090122567
2011-09-29,33.5767319833234
2011-10-26,26.004271232876714
2011-11-24,29.304765681326604
2011-12-29,32.164164954337906
2012-01-25,25.210269863013703
2012-02-23,29.916170007209807
2012-03-29,35.6402104109589
2012-04-26,28.26251385083714
2012-05-31,33.537560000000006
2012-06-28,27.192717808219182
2012-07-26,28.09351232876712
2012-08-30,35.6610851697439
2012-09-27,29.335588493150684
2012-10-25,30.61317138508372
2012-11-29,38.01504050029779
2012-12-27,31.62151232876713
2013-01-31,40.36649534246577
2013-02-28,31.64763671232877
2013-03-28,31.049819754866625
2013-04-25,30.415283158742948
2013-05-30,40.59699671232877
2013-06-27,31.087452602739727
2013-07-25,31.82707068493151
2013-08-29,37.34132698034544
2013-09-26,31.04690872386445
2013-10-31,40.66191602144134
2013-11-28,32.89634607065611
2013-12-26,33.47713914924297
2014-01-30,41.87185589041097
2014-02-26,31.528633886085075
2014-03-27,36.02385164383561
2014-04-23,34.96156952054795
2014-05-29,48.46434657534248
2014-06-26,40.41066246575343
2014-07-31,51.46353652968037
2014-08-28,41.816847296323004
2014-09-25,43.32196337418889
2014-10-30,53.27105479452055
2014-11-27,45.11896133942162
2014-12-24,43.17626647440521
2015-01-29,58.409313698630136
2015-02-26,46.93562682047586
2015-03-26,46.81618410958904
2015-04-30,57.14040722291408
2015-05-28,44.53648507570296
2015-06-25,43.94387123287671
2015-07-30,56.803323835616425
2015-08-27,44.85642575342466
2015-09-24,42.02138255227111
2015-10-29,54.60424533001246
2015-11-26,42.37794459665145
2015-12-31,52.44994121004567
2016-01-28,40.4587524152848
2016-02-25,38.86258465753425
2016-03-31,50.348018679950194
2016-04-28,41.79238033843675
2016-05-26,42.02854849315067
2016-06-30,54.960816438356176
2016-07-28,45.63631780821917
2016-08-25,46.35511636625812
2016-09-29,58.883232876712334
2016-10-27,46.54334733637748
2016-11-24,44.63237952415285
2016-12-29,54.48531506849316
2017-01-25,43.185341744772906
2017-02-23,48.80676164383562
2017-03-30,60.59697796307327
2017-04-27,49.44196955859969
2017-05-25,50.44036683489546
2017-06-29,64.51398173515983
2017-07-27,52.699889315068496
2017-08-31,66.54334246575343
2017-09-28,53.63000328767123
2017-10-26,54.15593363774735
2017-11-30,69.31231232876713
2017-12-28,55.36780966113916
2018-01-25,57.53476630136988
2018-02-22,57.04463652968037
2018-03-28,67.05973901131627
2018-04-26,58.10452754145638
2018-05-31,71.61201769406394
2018-06-28,57.695996438356175
2018-07-26,58.6832994520548
2018-08-30,76.97031774865994
2018-09-27,60.88741491628615
2018-10-25,56.12240730593607
2018-11-29,70.7493898153663
2018-12-27,57.85975111751984
2019-01-31,72.58446520547945
2019-02-28,58.17623671232877
2019-03-28,60.68055585996955
2019-04-25,62.583873972602746
2019-05-30,77.8059589041096
2019-06-27,63.61179293439078
2019-07-25,62.3289397260274
2019-08-29,73.88921292435974
2019-09-26,59.48552267884325
2019-10-31,77.1279984433375
2019-11-28,64.21977447728914
2019-12-26,64.83980994953137
2020-01-30,81.86852876712328
2020-02-27,64.29063123287672
2020-03-26,51.89413006488825
2020-04-30,60.30982648401827
2020-05-28,49.24401552511417
2020-06-25,54.0060010958904
2020-07-30,72.64647369863016
2020-08-27,60.60648904109591
2020-09-24,61.13449424657534
2020-10-29,78.50327197488583
2020-11-26,67.31657589041097
2020-12-31,90.78531179273378
2021-01-28,76.89006517664023
2021-02-25,80.07601479452055
2021-03-25,79.706614852199
2021-04-29,98.15189041095891
2021-05-27,80.06272155731794
2021-06-24,84.31070219178083
2021-07-29,105.95047374429228
2021-08-26,87.86063878875272
2021-09-30,117.03206706621006
2021-10-28,96.8646272530642
2021-11-25,95.75835068493151
2021-12-30,115.1077794520548
2022-01-27,95.61880490266762
2022-02-24,92.76661205479452
2022-03-31,113.1203814770697
2022-04-28,93.63409254185692
2022-05-26,87.38619726027397
2022-06-30,107.43162739726029
2022-07-28,87.29281534246576
2022-08-25,94.30328188736684
2022-09-29,117.8920002853881
2022-10-27,93.0853671232877
2022-11-24,97.75526142754148
2022-12-29,123.72687945205476
2023-01-25,93.35087454938716
2023-02-23,98.8686333561644
2023-03-29,112.42025681953544
2023-04-27,98.269764544722
2023-05-25,97.94459149242974
2023-06-28,121.80903575342464
2023-07-27,108.7566104109589
2023-08-31,115.56460660024908
2023-09-28,106.29010757029562
2023-10-26,105.01180304414004
2023-11-30,131.13110597124478
2023-12-28,113.49866820475847
2024-01-25,116.16293068493152
2024-02-29,147.07782106164385
2024-03-28,119.14281816870948
