path_id,start,end,n_days
107,2009-11-03,2014-10-31,1266
108,2009-12-01,2014-11-28,1264
109,2010-01-04,2014-12-31,1265
110,2010-02-01,2015-01-30,1267
111,2010-03-02,2015-02-28,1267
112,2010-04-01,2015-03-31,1267
113,2010-05-03,2015-04-30,1266
114,2010-06-01,2015-05-29,1265
115,2010-07-01,2015-06-30,1265
116,2010-08-02,2015-07-31,1266
117,2010-09-01,2015-08-31,1265
118,2010-10-01,2015-09-30,1264
119,2010-11-01,2015-10-30,1263
120,2010-12-01,2015-11-30,1261
121,2011-01-03,2015-12-31,1261
122,2011-02-01,2016-01-29,1261
123,2011-03-01,2016-02-29,1262
124,2011-04-01,2016-03-31,1260
125,2011-05-02,2016-04-29,1260
126,2011-06-01,2016-05-31,1260
127,2011-07-01,2016-06-30,1260
128,2011-08-01,2016-07-29,1259
129,2011-09-02,2016-08-31,1260
130,2011-10-03,2016-09-30,1259
131,2011-11-01,2016-10-30,1259
132,2011-12-01,2016-11-30,1260
133,2012-01-02,2016-12-30,1261
134,2012-02-01,2017-01-31,1260
135,2012-03-01,2017-02-28,1259
136,2012-04-02,2017-03-31,1259
137,2012-05-02,2017-04-28,1257
138,2012-06-01,2017-05-31,1257
139,2012-07-02,2017-06-30,1257
140,2012-08-01,2017-07-31,1256
141,2012-09-03,2017-08-31,1256
142,2012-10-01,2017-09-29,1257
143,2012-11-01,2017-10-31,1256
144,2012-12-03,2017-11-30,1258
145,2013-01-01,2017-12-29,1258
146,2013-02-01,2018-01-31,1257
147,2013-03-01,2018-02-28,1256
148,2013-04-01,2018-03-28,1256
149,2013-05-02,2018-04-30,1257
150,2013-06-03,2018-05-31,1256
151,2013-07-01,2018-06-29,1257
152,2013-08-01,2018-07-31,1256
153,2013-09-02,2018-08-31,1257
154,2013-10-01,2018-09-28,1255
155,2013-11-01,2018-10-31,1255
156,2013-12-02,2018-11-30,1255
157,2014-01-01,2018-12-31,1254
158,2014-02-03,2019-01-31,1254
159,2014-03-03,2019-02-28,1255
160,2014-04-01,2019-03-29,1253
161,2014-05-02,2019-04-30,1233
162,2014-06-02,2019-05-31,1234
163,2014-07-01,2019-06-28,1232
164,2014-08-01,2019-07-31,1233
165,2014-09-01,2019-08-30,1234
166,2014-10-01,2019-09-30,1231
167,2014-11-03,2019-10-31,1233
168,2014-12-01,2019-11-29,1235
169,2015-01-01,2019-12-31,1234
170,2015-02-02,2020-01-31,1236
171,2015-03-02,2020-02-28,1236
172,2015-04-01,2020-03-31,1236
173,2015-05-04,2020-04-30,1235
174,2015-06-01,2020-05-29,1234
175,2015-07-01,2020-06-30,1234
176,2015-08-03,2020-07-31,1234
177,2015-09-01,2020-08-31,1234
178,2015-10-01,2020-09-30,1236
179,2015-11-02,2020-10-30,1237
180,2015-12-01,2020-11-27,1238
181,2016-01-01,2020-12-31,1238
182,2016-02-01,2021-01-29,1238
183,2016-03-01,2021-02-26,1237
184,2016-04-01,2021-03-31,1238
185,2016-05-02,2021-04-30,1239
186,2016-06-01,2021-05-31,1237
187,2016-07-01,2021-06-30,1237
188,2016-08-01,2021-07-30,1238
189,2016-09-01,2021-08-31,1237
190,2016-10-03,2021-09-30,1238
191,2016-11-01,2021-10-29,1239
192,2016-12-01,2021-11-30,1238
193,2017-01-02,2021-12-31,1239
194,2017-02-01,2022-01-31,1238
195,2017-03-01,2022-02-28,1239
196,2017-04-03,2022-03-31,1238
197,2017-05-02,2022-04-29,1239
198,2017-06-01,2022-05-31,1238
199,2017-07-03,2022-06-30,1239
200,2017-08-01,2022-07-29,1239
201,2017-09-01,2022-08-30,1238
202,2017-10-03,2022-09-30,1239
203,2017-11-01,2022-10-31,1238
204,2017-12-01,2022-11-30,1237
205,2018-01-01,2022-12-30,1239
206,2018-02-01,2023-01-31,1238
207,2018-03-01,2023-02-28,1239
208,2018-04-02,2023-03-31,1241
209,2018-05-02,2023-04-28,1237
210,2018-06-01,2023-05-31,1237
211,2018-07-02,2023-06-30,1237
212,2018-08-01,2023-07-31,1236
213,2018-09-03,2023-08-31,1237
214,2018-10-01,2023-09-29,1239
215,2018-11-01,2023-10-31,1238
216,2018-12-03,2023-11-30,1238
217,2019-01-01,2023-12-29,1238
218,2019-02-01,2024-01-31,1237
219,2019-03-01,2024-02-29,1238
220,2019-04-01,2024-03-28,1238
221,2019-05-02,2024-04-30,1239
222,2019-06-03,2024-05-31,1239
223,2019-07-01,2024-06-28,1239
224,2019-08-01,2024-07-31,1238
225,2019-09-03,2024-08-30,1239
226,2019-10-01,2024-09-30,1241
227,2019-11-01,2024-10-31,1243
228,2019-12-02,2024-11-29,1242
229,2020-01-01,2024-12-31,1242
230,2020-02-01,2025-01-31,1242
231,2020-03-02,2025-02-28,1242
232,2020-04-01,2025-03-28,1240
233,2020-05-04,2025-04-30,1241
234,2020-06-01,2025-05-30,1243
235,2020-07-01,2025-06-30,1242
